Section,Subject,Catalog,Name,Building,Room,Mtg Start,Mtg End,Mon,Tues
001,CSE,1105,Eary,SEIR,294,11:00,11:50,Y,N
002,CSE,1105,Eary,SEIR,100,11:00,11:50,N,N
002,CSE,1105,Eary,SEIR,194,11:00,11:50,N,N
003,CSE,1105,Eary,GS,100,11:00,11:50,N,N
004,CSE,1105,Eary,GS,100,13:00,13:50,N,N
001,CSE,1310,Stefan,NH,203,13:00,14:20,Y,N
002,CSE,1310,Qudah,NH,110,14:00,15:20,N,Y
003,CSE,1310,Tiernan,GS,100,15:30,16:50,N,Y
004,CSE,1310,Moore,NH,110,17:30,18:50,Y,N
005,CSE,1310,Moore,NH,110,19:00,20:20,Y,N
006,CSE,1310,Jain,NH,203,16:00,17:20,Y,N
007,CSE,1310,Jain,NH,203,17:30,18:50,Y,N
008,CSE,1310,Qudah,NH,109,16:00,17:20,Y,N
001,CSE,1320,Datta,NH,202,13:00,14:20,Y,N
002,CSE,1320,Datta,NH,202,14:30,15:50,Y,N
003,CSE,1320,French,NH,109,09:00,09:50,Y,N
004,CSE,1320,Qudah,NH,110,15:30,16:50,N,Y
005,CSE,1320,French,NH,109,10:00,10:50,Y,N
001,CSE,1325,Rice,NH,110,08:00,09:20,N,Y
002,CSE,1325,Rice,NH,110,09:30,10:50,N,Y
003,CSE,1325,Qudah,NH,109,14:30,15:50,Y,N
004,CSE,1325,Gieser,NH,110,09:00,09:50,Y,N
005,CSE,1325,French,NH,229,14:30,15:50,Y,N
006,CSE,1325,French,NH,109,11:00,11:50,Y,N
001,CSE,2100,Gieser,ERB,132,09:00,11:50,N,N
002,CSE,2100,Gieser,ERB,132,17:30,20:20,N,Y
003,CSE,2100,Gieser,ERB,132,16:00,18:50,N,N
004,CSE,2100,Gieser,ERB,132,17:30,20:20,N,N
005,CSE,2100,Gieser,ERB,132,16:00,18:50,N,N
006,CSE,2100,Gieser,ERB,132,13:00,15:50,N,N
007,CSE,2100,Gieser,ERB,132,13:00,15:50,N,N
008,CSE,2100,Gieser,ERB,132,08:00,10:50,N,Y
009,CSE,2100,Gieser,ERB,132,11:00,13:50,N,N
010,CSE,2100,Gieser,ERB,132,14:00,16:50,N,Y
001,CSE,2312,Gieser,NH,110,12:30,13:50,N,Y
002,CSE,2312,Losh,NH,202,14:00,15:20,N,Y
003,CSE,2312,Eary,CRB,114,13:00,14:20,Y,N
004,CSE,2312,Eary,CRB,114,14:30,15:50,Y,N
005,CSE,2312,Losh,ERB,100,16:00,17:20,Y,N
001,CSE,2315,Park,WH,311,19:00,20:20,Y,N
002,CSE,2315,Cross,NH,108,15:30,16:50,N,Y
005,CSE,2315,Cross,NH,109,08:00,09:20,N,Y
001,CSE,2320,Stefan,WH,311,09:30,10:50,N,Y
002,CSE,2320,Stefan,LS,124,11:00,12:20,N,Y
003,CSE,2320,Weems,ERB,129,14:00,15:20,N,Y
004,CSE,2320,Weems,ERB,131,11:00,12:20,N,Y
001,CSE,2440,Cross,NH,112,12:30,13:50,N,Y
002,CSE,2440,Cross,ERB,126,13:00,15:50,Y,N
003,CSE,2440,Cross,ERB,125,13:00,15:50,Y,N
001,CSE,2441,Carroll,ERB,130,11:00,12:20,N,Y
002,CSE,2441,Carroll,ERB,127,09:00,11:50,N,N
003,CSE,2441,Carroll,ERB,127,14:00,16:50,N,N
001,CSE,3302,Dalio,NH,109,14:00,15:20,N,Y
002,CSE,3302,Dalio,NH,109,15:30,16:50,N,Y
003,CSE,3302,French,SH,332,16:00,18:50,N,N
001,CSE,3310,Khalili,NH,203,14:00,15:20,N,Y
002,CSE,3310,Siok,NH,106,17:30,18:50,Y,N
003,CSE,3310,Davis,NH,229,17:30,18:50,Y,N
001,CSE,3311,Csallner,WH,221,13:00,14:20,Y,N
001,CSE,3313,Brezeale,NH,229,16:00,17:20,Y,N
001,CSE,3315,Barasch,NH,108,09:30,10:50,N,Y
002,CSE,3315,Barasch,NH,108,14:00,15:20,N,Y
003,CSE,3315,Barasch,NH,108,08:00,09:20,N,Y
001,CSE,3320,Levine,NH,108,16:00,17:20,Y,N
002,CSE,3320,Bakker,NH,109,19:00,20:20,Y,N
003,CSE,3320,Bakker,NH,109,17:30,18:50,Y,N
001,CSE,3323,Meszko,WH,208,13:00,14:20,Y,N
002,CSE,3323,Meszko,ERB,126,10:00,11:50,Y,N
003,CSE,3323,Meszko,ERB,126,10:00,11:50,N,N
001,CSE,3330,Jain,NH,112,19:00,20:20,Y,N
002,CSE,3330,Jain,NH,111,20:30,21:50,Y,N
003,CSE,3330,Toutountzi,SH,121,15:30,16:50,N,Y
001,CSE,3380,Brezeale,ERB,100,12:30,13:50,N,Y
001,CSE,3442,Losh,WH,221,15:30,16:50,N,Y
002,CSE,3442,Losh,ERB,127,09:00,11:50,N,Y
003,CSE,3442,Losh,ERB,127,09:00,11:50,N,N
001,CSE,4191,Barasch,ERB,100,0:00,0:00,N,N
001,CSE,4303,Dalio,GACB,105,16:00,18:50,N,N
001,CSE,4305,Dalio,GACB,103,17:30,18:50,N,Y
001,CSE,4308,Gopikrishna,NH,110,16:00,17:20,Y,N
002,CSE,4308,Beksi,NH,111,15:30,16:50,N,Y
001,CSE,4309,Athitsos,ERB,130,10:00,10:50,Y,N
001,CSE,4314,Amaravadi,WH,311,19:00,21:50,N,N
002,CSE,4314,Cross,NH,109,09:30,10:50,N,Y
001,CSE,4316,McMurrough,WH,221,11:00,11:50,Y,N
002,CSE,4316,McMurrough,WH,221,10:00,10:50,N,N
003,CSE,4316,Conly,WH,221,11:00,11:50,N,Y
004,CSE,4316,Conly,ERB,130,11:00,12:50,N,N
005,CSE,4316,Gieser,WH,208,11:00,11:50,Y,N
006,CSE,4316,Gieser,WH,221,12:00,12:50,N,N
007,CSE,4316,McMurrough,COBA,150,14:00,14:50,Y,N
008,CSE,4316,McMurrough,WH,221,13:00,13:50,N,N
009,CSE,4316,Conly,WH,308,13:00,13:50,Y,N
010,CSE,4316,Conly,WH,221,14:00,14:50,N,N
001,CSE,4317,Conly,WH,221,10:00,10:50,N,Y
002,CSE,4317,Conly,SH,205,12:00,13:50,N,N
003,CSE,4317,Conly,WH,210,10:00,10:50,Y,N
004,CSE,4317,Conly,GS,109,11:00,11:50,N,N
005,CSE,4317,Gieser,ERB,131,10:00,10:50,Y,N
006,CSE,4317,Gieser,COBA,140,12:00,13:50,N,N
002,CSE,4321,Lei,NH,229,11:00,12:20,N,Y
001,CSE,4322,Amaravadi,NH,108,19:00,21:50,N,Y
002,CSE,4322,Amaravadi,NH,108,19:00,21:50,N,N
002,CSE,4323,Islam,NH,111,14:00,15:20,N,Y
001,CSE,4331,Chakravarthy,COBA,253,12:30,13:50,N,Y
001,CSE,4334,Park,NH,229,12:30,13:50,N,Y
002,CSE,4334,Li,NH,112,14:00,15:20,N,Y
001,CSE,4342,Losh,ERB,131,17:30,18:50,N,Y
001,CSE,4344,Liu,ERB,129,11:00,12:20,N,Y
002,CSE,4344,Kashefi,ERB,130,15:30,16:50,N,Y
001,CSE,4345,Brezeale,SH,330,13:00,14:20,Y,N
001,CSE,4351,Ahmad,SEIR,194,15:30,16:50,N,Y
001,CSE,4354,Losh,WH,208,12:30,13:50,N,Y
001,CSE,4360,Huber,PKH,104,17:30,18:50,Y,N
001,CSE,4361,Kung,ARCH,401,14:00,15:20,N,Y
001,CSE,4378,Huber,SEIR,294,16:00,17:20,Y,N
001,CSE,4380,Nilizadeh,WH,221,14:00,15:20,N,Y
002,CSE,4380,Nilizadeh,ERB,106,16:00,19:50,N,N
003,CSE,4380,Nilizadeh,ERB,106,16:00,19:50,N,Y
001,CSE,4382,Jones,ERB,130,14:00,16:50,N,N
002,CSE,4382,Levine,NH,111,19:00,20:20,Y,N
002,CSE,4391,Robb,NH,106,17:30,19:50,N,Y
003,CSE,4391,Mufti,NH,111,17:30,20:20,N,Y
001,CSE,4392,Dalio,GACB,105,13:00,15:50,N,N
001,IE,3301,Chen,WH,308,11:00,11:50,Y,N
002,IE,3301,Imrhan,COBA,140,12:30,13:50,N,Y
003,IE,3301,Componation,ERB,131,14:30,15:50,Y,N
004,IE,3301,Imrhan,WH,100,13:00,14:20,Y,N
005,IE,3301,LeBoulluec,WH,208,17:30,18:50,N,Y
006,IE,3301,LeBoulluec,WH,208,19:00,20:20,N,Y
100,MATH,2425,Koffi,LS,124,10:00,10:50,Y,N
101,MATH,2425,Soleimani,PKH,319,09:00,09:50,Y,N
102,MATH,2425,Soleimani,PKH,319,11:00,11:50,Y,N
150,MATH,2425,Gheibi,LS,124,17:30,18:50,Y,N
151,MATH,2425,Su,PKH,311,16:00,16:50,Y,N
152,MATH,2425,Su,PKH,309,19:00,19:50,Y,N
200,MATH,2425,Ahmed,CH,106,11:00,11:50,Y,N
201,MATH,2425,Khakurel,PKH,319,10:00,10:50,Y,N
202,MATH,2425,Khakurel,PKH,305,13:00,13:50,Y,N
251,MATH,2425,Yu,PKH,309,16:30,17:20,N,Y
252,MATH,2425,Yu,PKH,309,19:00,19:50,N,Y
300,MATH,2425,Gornet,PKH,319,11:00,12:20,N,Y
301,MATH,2425,Turner,PKH,309,14:00,14:50,N,Y
302,MATH,2425,Turner,PKH,309,13:00,13:50,N,Y
400,MATH,2425,Li,PKH,110,19:00,20:20,N,Y
401,MATH,2425,Bowman,PKH,305,18:00,18:50,N,Y
402,MATH,2425,Bowman,PKH,305,16:00,16:50,N,Y
450,MATH,2425,Lim,CH,106,10:00,10:50,Y,N
451,MATH,2425,Flattery,PKH,311,09:00,09:50,Y,N
452,MATH,2425,Flattery,PKH,311,11:00,11:50,Y,N
